,Measures,Single operand,Numerator,Denominator
8142,percentage of looked after children achieving 5 a_c at key stage 4 _including english and math_,,['children looked'],['Total number of children']
8143,percentage of secondary schools judged as having good or outstanding standards of behavior,,['secondary schools judged'],['Total number of secondary schools']
8144,percentage of special educational needs achieving 5 a_c,,['special educational needs achieving'],['Total number of special educational needs']
8145,percentage of special educational needs achieving key stage 2,,['special educational needs achieving'],['Total number of special educational needs']
8146,percentage of special educational needs statements issued within 6 days,,['special educational needs statements issued'],['Total number of special educational needs statements']
8147,percentage of wellness clients reporting about an adult in the wellness program that really cares about them,,['wellness clients reporting'],['Total number of wellness clients']
8148,percentage of wellness clients scoring high in school connectedness assets,,['wellness clients scoring'],['Total number of wellness clients']
8149,percentage of wellness clients who report coming to school more often,,['wellness clients report'],['Total number of wellness clients']
8150,percentage of wellness clients who report doing better in school,,['wellness clients report'],['Total number of wellness clients']
8151,percentage of youth outreach workers scoring high in school connectedness assets,,['youth outreach workers scoring'],['Total number of youth outreach workers']
8152,percentage of youth who prefer to speak other than national language,,['youth prefer'],['Total number of youth']
8153,percent participation of 17 year_olds in education or training,,,
8154,percent post_16 participation in physical sciences _a level physics_ chemistry and math_,,,
8155,percent progression by 2 levels in english between key stage 1 and key stage 2,,,
8156,percent progression by 2 levels in english between key stage 2 and key stage 3,,,
8157,percent progression by 2 levels in english between key stage 3 and key stage 4,,,
8158,percent progression by 2 levels in math between key stage 1 and key stage 2,,,
