,Measures,Single_operand,Numerator,Denominator
793,average land degradation expressed in glasod erosion degree,,[' land degradation expressed in glasod erosion degree '],[' glasod erosion degree ']
794,average land prices per square meter,,[' land prices per square meter '],[' square meter ']
795,average land rents per square meter,,[' land rents per square meter '],[' square meter ']
796,average land unavailable to services,,[' land unavailable to services '],[' services ']
797,average lead generation and research expense per month for qualifying leads,,[' lead generation and research expense per month for qualifying leads '],[' month for qualifying leads ']
798,average lead score,,[' lead score '],['average lead score ']
799,average lead time,,[' lead time '],['average lead time ']
800,average lead time for all orders,,[' lead time for all orders '],['average lead time for all orders ']
801,average lead time for this week,,[' lead time for this week '],['average lead time for this week ']
802,average lead time per order,,[' lead time per order '],[' order ']
803,average lead time to promotion,,[' lead time to promotion '],[' promotion ']
804,average lead time to respond to ideas or suggestions,,[' lead time to respond to ideas or suggestions '],[' respond to ideas or suggestions ']
805,average lead time to respond to ideas suggestions,,[' lead time to respond to ideas suggestions '],[' respond to ideas suggestions ']
806,average learning hours â€“ ecf,,[' learning hours â€“ ecf '],['average learning hours â€“ ecf ']
807,average leasing time,,[' leasing time '],['average leasing time ']
808,average legal opinion response time,,[' legal opinion response time '],['average legal opinion response time ']
809,average leisure and recreation time across activities participating and attending events,,[' leisure and recreation time across activities participating and attending events '],['average leisure and recreation time across activities participating and attending events ']
810,average leisure and recreation time across activities sports,,[' leisure and recreation time across activities sports '],['average leisure and recreation time across activities sports ']
811,average leisure and recreation time across activities tv or radio at home,,[' leisure and recreation time across activities tv or radio at home '],['average leisure and recreation time across activities tv or radio at home ']
